scenario_id,metadata_shift_type,audit_shift_type,shift_type_match,metadata_difficulty,audit_difficulty,difficulty_match,audit_signals_shift_type,audit_difficulty_score,audit_difficulty_breakdown,audit_target_context_inferred,metadata_target_context,metadata_referent_complexity,llm_shift_type,llm_difficulty,llm_rationale
sc-135,absent_referent,absent_referent,True,easy,hard,False,"[""rule_3_absent_referent: T2 user cue 'the model number'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-136,screen_content,screen_content,True,medium,medium,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",3,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1}",prior,prior,single_referent,,,
sc-137,screen_content,screen_content,True,medium,medium,True,"[""rule_2_screen_content: T1 screen cue 'drawing slate', T2 screen cue 'drawing slate'""]",3,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1}",prior,prior,single_referent,,,
sc-138,screen_content,screen_content,True,hard,medium,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",3,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1}",prior,prior,distractor_present,,,
sc-139,screen_content,screen_content,True,medium,medium,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",3,"{""target_context_abstain_or_clarify"": 2, ""heavy_shift_type"": 1}",clarify,clarify,multi_referent,,,
sc-140,screen_content,screen_content,True,hard,medium,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",3,"{""target_context_abstain_or_clarify"": 2, ""heavy_shift_type"": 1}",clarify,clarify,multi_referent,,,
sc-141,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",4,"{""target_context_abstain_or_clarify"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",clarify,clarify,multi_referent,,,
sc-142,screen_content,screen_content,True,easy,medium,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",3,"{""target_context_abstain_or_clarify"": 2, ""heavy_shift_type"": 1}",clarify,clarify,multi_referent,,,
sc-143,screen_content,screen_content,True,hard,hard,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-144,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-145,screen_content,screen_content,True,hard,hard,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,distractor_present,,,
sc-146,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-147,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-148,screen_content,screen_content,True,hard,hard,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-149,screen_content,screen_content,True,hard,hard,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,distractor_present,,,
sc-150,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,single_referent,,,
sc-151,cross_session_reference,cross_session_reference,True,easy,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",4,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",prior,prior,referent_offscreen,,,
sc-152,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",4,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""gold_jaccard_medium"": 1}",prior,prior,single_referent,,,
sc-153,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",4,"{""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",prior,prior,distractor_present,,,
sc-154,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",4,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",prior,prior,multi_referent,,,
sc-155,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",4,"{""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",prior,prior,single_referent,,,
sc-156,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-157,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-158,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,single_referent,,,
sc-159,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,single_referent,,,
sc-160,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,referent_offscreen,,,
sc-161,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-162,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",7,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,referent_offscreen,,,
sc-163,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,single_referent,,,
sc-164,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_shift_type"": 1}",abstain,abstain,distractor_present,,,
sc-165,cross_session_reference,cross_session_reference,True,medium,hard,False,"[""rule_1_cross_session_reference: context_image is non-null""]",7,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,single_referent,,,
sc-166,cross_session_reference,cross_session_reference,True,hard,hard,True,"[""rule_1_cross_session_reference: context_image is non-null""]",7,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_shift_type"": 1, ""long_time_gap"": 1}",abstain,abstain,single_referent,,,
